ticker,setup,score,price,entry,stop,target_2r,target_3r,risk_pct,rsi14,pullback_pct_below_sma50,coil_ratio,rel_strength_pct_vs_spy
CBZ,Breakout ready,0.686,54.68000030517578,54.76,54.47,55.34,55.63,0.53,69.6,-5.86,0.479,74.27
IOT,Trend reset at 50-day,0.629,38.04999923706055,40.11,36.69,46.95,50.37,8.53,45.5,1.44,0.745,25.7
PCTY,Pullback to 20-day,0.612,144.4199981689453,145.29,139.23,157.41,163.47,4.17,46.6,-1.06,0.801,38.13
VG,Trend reset at 50-day,0.608,13.65999984741211,13.93,13.24,15.31,16.0,4.95,42.5,2.32,0.86,20.86
BWIN,Breakout ready,0.603,31.889999389648438,32.01,29.92,36.19,38.28,6.53,58.3,-8.23,0.352,27.22
AMGN,Trend reset at 50-day,0.594,393.1600036621094,395.05,373.01,439.13,461.17,5.58,45.1,1.6,0.761,6.48
RPRX,Trend reset at 50-day,0.593,58.439998626708984,59.14,57.36,62.7,64.48,3.01,42.4,1.33,0.711,1.69
ABNB,Trend reset at 50-day,0.586,166.83999633789062,168.19,163.62,177.33,181.9,2.72,41.4,0.32,0.779,11.99
BILL,Trend reset at 50-day,0.586,47.060001373291016,48.35,45.55,53.95,56.75,5.79,46.5,0.37,0.991,35.38
FDS,Pullback to 20-day,0.578,284.1000061035156,290.42,264.98,341.3,366.74,8.76,50.3,-1.96,0.863,30.95
BOX,Volatility coil,0.578,33.61000061035156,34.01,33.2,35.63,36.44,2.38,48.7,-2.88,0.799,29.22
EXLS,Pullback to 20-day,0.578,35.2599983215332,35.8,34.08,39.24,40.96,4.8,48.0,-3.77,0.793,34.21
WEX,Pullback to 20-day,0.577,187.30999755859375,195.1,183.95,217.4,228.55,5.72,45.2,-0.61,0.979,35.15
BMY,Trend reset at 50-day,0.577,62.619998931884766,63.45,61.87,66.61,68.19,2.49,38.8,2.32,0.908,8.73
MA,Volatility coil,0.577,567.6500244140625,569.12,559.84,587.68,596.96,1.63,46.5,-0.1,0.792,10.7
GPN,Trend reset at 50-day,0.577,85.29000091552734,86.74,83.45,93.32,96.61,3.79,41.7,1.98,0.99,19.89
DAR,Trend reset at 50-day,0.576,63.2599983215332,65.77,62.2,72.91,76.48,5.43,44.9,0.71,0.867,13.58
SJM,Trend reset at 50-day,0.576,119.87999725341797,123.28,118.69,132.46,137.05,3.72,41.3,0.7,0.764,1.96
SN,Trend reset at 50-day,0.576,167.5,169.43,155.09,198.11,212.45,8.46,44.9,1.72,0.908,11.66
ADP,Pullback to 20-day,0.573,269.94000244140625,272.17,261.85,292.81,303.13,3.79,47.8,-0.91,0.849,19.99
THC,Pullback to 20-day,0.572,260.9700012207031,264.0,254.35,283.3,292.95,3.66,50.2,-4.18,0.816,36.28
SLB,Trend reset at 50-day,0.572,51.7599983215332,52.48,49.99,57.46,59.95,4.74,41.9,0.69,0.805,4.12
HUM,Trend reset at 50-day,0.571,378.5799865722656,387.34,370.97,420.08,436.45,4.23,41.5,2.52,0.834,-4.68
CB,Trend reset at 50-day,0.571,337.260009765625,341.6,331.31,362.18,372.47,3.01,44.0,2.2,0.828,-3.35
FOX,Pullback to 20-day,0.568,57.900001525878906,58.68,55.8,64.44,67.32,4.91,48.1,-3.05,0.804,25.48
CHYM,Pullback to 20-day,0.567,29.920000076293945,30.87,29.3,34.01,35.58,5.09,43.7,-4.11,1.043,58.17
IEX,Trend reset at 50-day,0.564,222.52999877929688,225.46,218.32,239.74,246.88,3.17,42.5,2.69,0.85,-7.71
HMY,Trend reset at 50-day,0.563,19.0,19.97,18.69,22.53,23.81,6.41,45.0,-1.97,0.84,20.06
FOXA,Pullback to 20-day,0.561,64.79000091552734,65.83,62.47,72.55,75.91,5.1,48.0,-2.95,0.862,27.59
NOV,Trend reset at 50-day,0.561,20.149999618530273,20.37,19.58,21.95,22.74,3.88,43.5,0.85,0.843,1.24
PBF,Pullback to 20-day,0.56,72.4800033569336,78.69,70.0,96.07,104.76,11.04,49.8,-4.8,1.11,66.42
CDW,Volatility coil,0.56,146.41000366210938,149.09,139.43,168.41,178.07,6.48,50.9,-3.45,0.679,9.31
VCTR,Pullback to 20-day,0.559,107.76000213623047,108.48,100.66,124.12,131.94,7.21,46.3,-0.28,1.012,26.2
PTGX,Pullback to 20-day,0.558,144.97999572753906,145.62,139.17,158.52,164.97,4.43,49.1,-0.74,0.867,12.63
CTAS,Trend reset at 50-day,0.558,196.8800048828125,198.43,193.99,207.31,211.75,2.24,42.1,2.33,1.028,11.14
